Class,TP,FN,FP,TN
1,656399,3053045,319423,519885054
2,94533256,43757337,32865243,352758085
3,11622351,14247414,21562753,476481403
4,445859,688652,8309183,514470227
5,1391735,4070347,3412097,515039742
6,54930862,47212808,46478323,375291928
7,4,36831,6218,523870868
8,0,0,0,523913921
9,0,0,0,523913921
10,0,0,0,523913921

Metric,Value
Recall (TP Rate),0.5912969420586314
TN Rate,0.8307880039983041
Accuracy,0.7606159740100042
Error Rate,0.23938402598999575
Precision,0.5915389786155038
F Measure,0.5914179355738296
