Fecha,Belisario,AQI_Belisario,Carapungo,AQI_Carapungo,Centro,AQI_Centro,Cotocollao,AQI_Cotocollao,ElCamal,AQI_ElCamal,Guamani,AQI_Guamani,LosChillos,AQI_LosChillos,SanAntonio,AQI_SanAntonio,Tumbaco,AQI_Tumbaco
2004-12-31,19.69232911,Moderado,,Incorrecto,16.33029622,Moderado,,Incorrecto,22.8164898,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2005-12-31,21.57751018,Moderado,21.33909305,Moderado,21.44994589,Moderado,20.20607629,Moderado,27.77387475,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2006-12-31,21.90489966,Moderado,17.52956187,Moderado,21.28476637,Moderado,18.92533183,Moderado,24.97512476,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2007-12-31,22.03846566,Moderado,19.41176187,Moderado,21.55524356,Moderado,16.74626436,Moderado,24.21447409,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2008-12-31,17.29506955,Moderado,14.53771149,Moderado,19.21417569,Moderado,14.36400348,Moderado,20.74644247,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2009-12-31,18.05226976,Moderado,21.02990509,Moderado,18.47438369,Moderado,17.06294097,Moderado,22.51576034,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2010-12-31,18.38697133,Moderado,18.72686925,Moderado,19.40043551,Moderado,16.41511186,Moderado,23.50375755,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2011-12-31,16.96176673,Moderado,17.52736714,Moderado,18.12269448,Moderado,14.83633309,Moderado,21.63645112,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2012-12-31,15.99066031,Moderado,21.95264938,Moderado,18.19927374,Moderado,15.34089193,Moderado,20.58812639,Moderado,,Incorrecto,,Incorrecto,,Incorrecto,,Incorrecto
2013-12-31,16.93681936,Moderado,18.22348665,Moderado,18.46093151,Moderado,17.22797114,Moderado,21.48472293,Moderado,30.525625,Moderado,,Incorrecto,,Incorrecto,,Incorrecto
2014-12-31,16.50065422,Moderado,15.56770444,Moderado,17.80285129,Moderado,17.84064418,Moderado,21.58247531,Moderado,,Incorrecto,16.02840881,Moderado,,Incorrecto,,Incorrecto
2015-12-31,15.63787683,Moderado,20.83372717,Moderado,15.85333448,Moderado,16.97539514,Moderado,,Incorrecto,,Incorrecto,17.0181624,Moderado,,Incorrecto,,Incorrecto
2016-12-31,16.99786394,Moderado,20.5188471,Moderado,17.27975255,Moderado,17.86678694,Moderado,25.34202276,Moderado,,Incorrecto,16.22676851,Moderado,,Incorrecto,,Incorrecto
2017-12-31,15.94923032,Moderado,19.31262888,Moderado,17.91588016,Moderado,16.24100618,Moderado,21.20774228,Moderado,18.90109118,Moderado,13.97245694,Moderado,15.60756604,Moderado,14.68600599,Moderado
2018-12-31,16.39682147,Moderado,20.16133271,Moderado,17.14550138,Moderado,16.58276816,Moderado,21.06493046,Moderado,19.44259378,Moderado,14.5216859,Moderado,14.07616024,Moderado,14.84627326,Moderado
2019-12-31,15.03564522,Moderado,17.00995368,Moderado,15.55423835,Moderado,16.29169155,Moderado,19.81030449,Moderado,17.37714924,Moderado,13.28505213,Moderado,13.24485839,Moderado,12.8687155,Moderado
2020-12-31,12.43799515,Moderado,14.26804505,Moderado,12.75282051,Moderado,12.68330796,Moderado,17.12018348,Moderado,15.61676396,Moderado,11.7290965,Moderado,11.35040453,Moderado,11.52631927,Moderado
2021-12-31,13.20376158,Moderado,14.13748662,Moderado,13.33881822,Moderado,12.78375372,Moderado,18.5391683,Moderado,16.15734963,Moderado,12.76917573,Moderado,11.06356207,Moderado,10.87697238,Moderado
2022-12-31,17.66326846,Moderado,14.34084829,Moderado,17.60647073,Moderado,15.96099412,Moderado,20.44362734,Moderado,18.69693554,Moderado,15.29490826,Moderado,14.50669323,Moderado,14.23229642,Moderado
2023-12-31,14.9221774,Moderado,18.57778655,Moderado,15.08171082,Moderado,12.22876488,Moderado,,Incorrecto,17.56163914,Moderado,13.92610089,Moderado,12.68059377,Moderado,9.984590203,Moderado
2024-12-31,17.17181818,Moderado,16.48194771,Moderado,15.89928244,Moderado,15.02822423,Moderado,,Incorrecto,16.46631941,Moderado,14.62490473,Moderado,15.84828405,Moderado,10.85792812,Moderado
