system:index,Area_km2,,Combinacion,.geo
0,644.6666667,0%,1001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,14490.55686,0%,1002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,66611.61961,0%,1003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,138,0%,1007,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,57,0%,1008,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,147252.0353,0%,1009,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,953457.2196,0%,101,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,463725.2118,0%,1010,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,126.8078431,0%,1011,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1691,0%,1012,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,167372.5922,0%,1013,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8331.188235,0%,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1860.560784,0%,103,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,178,0%,108,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,92882.92941,0%,109,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3214.996078,0%,110,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6,0%,1101,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,200,0%,1102,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,91,0%,1103,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2,0%,1107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,127.5176471,0%,1109,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,52.01176471,0%,111,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1357.219608,0%,1110,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,14,0%,1111,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,33,0%,1112,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1608.12549,0%,1113,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,88,0%,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,681642.7961,0%,113,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,53,0%,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,68227.37647,0%,1202,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,17223.50588,0%,1203,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,3,0%,1207,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,882.4156863,0%,1209,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,412.3647059,0%,1210,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,5,0%,1211,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,14282,0%,1212,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,174680.6706,0%,1213,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,365622.1882,0%,1301,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1.02E+07,4%,1302,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,8582725.09,3%,1303,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,577.5568627,0%,1307,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,421,0%,1308,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2479253.984,1%,1309,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1250278.749,0%,1310,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2739.368627,0%,1311,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,520879.8471,0%,1312,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,3.34E+07,12%,1313,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,17315.03529,0%,201,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.27E+08,46%,202,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,9624885.529,4%,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1887,0%,207,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,15259,0%,208,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,823607.8588,0%,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,220660.6706,0%,210,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,892.2039216,0%,211,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1135525.898,0%,212,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,4.38E+07,16%,213,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2724.105882,0%,301,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2350192.11,1%,302,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1.17E+07,4%,303,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,158,0%,307,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,5,0%,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1652234.596,1%,309,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,226286.4353,0%,310,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,373,0%,311,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,102777.8275,0%,312,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,9590778.192,4%,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,15,0%,701,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,23113.54118,0%,702,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2772,0%,703,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,1048,0%,707,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,67,0%,708,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,130,0%,709,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,3360,0%,710,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,7,0%,711,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,4480,0%,712,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,90070.15686,0%,713,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,20709.36078,0%,901,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,133776.502,0%,902,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2307071.533,1%,903,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,230,0%,907,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,4267.862745,0%,908,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,1609766.435,1%,909,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,553266.9216,0%,910,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,726.6705882,0%,911,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,6071.752941,0%,912,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,1275037.733,0%,913,"{""type"":""MultiPoint"",""coordinates"":[]}"
,273798965.2,100%,,
