,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
NO2,-0.047099174775855276,0.12880458763903005,0.43661699630032685,-0.4216863228838377,-0.09200556031379707,0.3298024732908206,0.6501140086447599,,0.996780491949182
O3,-0.2677115147027551,0.49444890260150487,-0.15466893838271195,-0.361230188050189,0.26299105014342866,0.04083476538936066,0.24075075594238868,-0.8669861324846657,-0.00563329018555718
PM25,0.005984379892271997,0.4057714983175139,0.5454575191352643,0.46120869010927246,0.16416428900429705,0.12149257536360109,0.29645805452085633,0.7916895974376653,-0.8112608267298324
PRE,0.24405501273119343,-0.2937192833824076,-0.439121017296024,-0.13266473245493476,0.6395480377075514,-0.5269380623589703,-0.5052527370222791,0.9996724976477716,-0.9159599063962791
RS,0.2273864882817627,-0.4162116654244827,0.36302729439945,0.12701005072239946,0.25407087675472784,-0.8676308952272438,0.5414286070771404,-0.7119300206985342,0.20909771346286407
SO2,-0.2536530483504901,-0.09474676134437343,-0.023088471875533402,0.2998232475388468,-0.49914572758975145,0.8318401284482322,0.8112854487592985,,
TMP,0.6453737793048376,-0.13403695580935204,-0.5426483496088808,0.6412279177689644,-0.31798079586014594,0.23640249783091175,0.0786374947313549,-0.6795595230792456,-0.3497123643223866
VEL,-0.14701614752244774,0.2286506067990117,-0.6821638219689089,0.1323464377340519,-0.3979834721331987,0.37597523028263363,0.7311558925677988,-0.8119652725474924,0.30859845090745563
CO,-0.3967185748709808,0.2608362207182046,0.0780035219014352,0.20765733452866028,0.35772044528901287,0.4037114574411053,-0.38928977439813,,0.8105813588784545
DIR,-0.06579719233070268,-0.22053979189482195,-0.6212313229029822,-0.45972049277111976,0.40560780965544235,0.62231128616471,-0.01841813808169872,0.12745176336937186,-0.786932419019477
HUM,-0.5060507345297256,-0.7350317865070045,0.458851173314522,-0.36980368375522965,0.40036247327862423,-0.6279400599734146,-0.25663231443013634,0.6218758201664423,0.033517430641570395
LLU,0.25745913698965195,-0.20134344604111734,0.38460748626122393,0.08692893929730916,-0.16149475612787637,-0.42610622806986037,-0.2584109621792068,0.7436769359638083,0.39370402711280666
