,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal
NO2,0.07335667247397663,,0.061436825672192864,0.18293602354953645,0.03526763146344798,0.11928363975820468,0.13115930126226763,0.14295899966502285,0.05581548083288529
O3,0.10934003001007578,0.07734582157843166,0.27703908250171805,0.21874852662571395,0.051239568751724696,0.12349982493316396,0.1612117727970921,0.0957407325335235,0.29398824043517097
PM25,-0.09453038484044908,0.020916098779116425,0.03953644076998994,0.2058515649193387,0.023838037701407425,0.003919782422501182,0.17775970925201132,0.14118502984240316,-0.036145050102564705
PRE,-0.019597966226422778,-0.12078608721663611,-0.14656168614597545,-0.08395443672532554,0.0028923397461207787,0.01154801820102711,-0.11626749299342347,-0.09973283681586623,-0.17596533017460103
RS,0.0023248383081039443,0.01784819272567272,0.1272540104668831,0.06277488148080176,0.06290084156455902,-0.020907064180111033,-0.048920669151150065,0.04325281130663125,0.10724489506585395
SO2,-0.049780919222327885,0.008118763809678742,,0.13510228717546002,-0.06982602958378545,0.0161028471745662,0.07227833469501718,0.15985638198282032,-0.06873835995430062
TMP,0.006605862551222152,0.09310285588215167,0.052516774969438365,-0.0211096084337822,-0.0024393102941035996,-0.04488810933494984,-0.013954218469807728,0.015846102410534094,-0.002486863077162214
VEL,0.11961138561155457,0.0556270178488664,0.11168249104152538,-0.031900784746139194,0.13412351274901035,0.035490730759062616,-0.003326169105376972,-0.026646893733049373,0.06092219146569482
CO,-0.07520975087910144,,-0.00039402695119514317,-0.06586794934472252,0.059657200840168095,0.051289949656594475,0.08492381230560386,-0.007168622192049696,-0.11516608072845012
DIR,-0.012295420725329045,-0.05773017676865082,-0.06720130157287221,-0.12996304077777748,-0.057504188111996944,-0.13811777092805216,0.021845593591682377,0.04383202126344304,0.06777738962798174
HUM,0.12230260737673916,-0.12315967850431983,-0.05296670940646053,0.01716790422594383,0.14599079858512176,0.10395511535944531,-0.03223323785374052,-0.05604726426283438,0.0554118108699258
LLU,0.06636698192757223,-0.06368807814960108,-0.0054880139209837215,-0.1833923718741897,0.07290279571023524,0.06142867077028094,0.062373497232381406,0.0352540598376487,-0.013717759255118742
